batting_team,bowling_team,current_over,current_score,wickets_lost,target_over,target_score
KKR,DC,9,87,7,19,172
GT,LSG,10,63,7,19,146
RR,CSK,9,89,5,13,115
LSG,CSK,10,80,7,15,113
DC,GT,14,128,4,16,145
KKR,GT,14,135,1,16,159
CSK,KKR,10,67,6,14,97
SRH,CSK,5,45,2,11,102
MI,PBKS,5,33,3,14,107
PBKS,RR,12,96,0,20,172
RR,RCB,15,137,0,20,198
SRH,RCB,6,43,2,8,66
CSK,RCB,10,90,3,11,99
RR,SRH,7,52,1,10,93
CSK,SRH,11,72,1,18,169
CSK,GT,11,77,6,19,124
DC,RCB,7,60,1,10,91
SRH,KKR,8,69,4,15,156
RR,SRH,5,34,2,18,224
MI,RCB,5,46,3,16,145
MI,KKR,11,67,3,16,115
LSG,MI,9,64,3,19,190
SRH,CSK,14,115,6,15,123
CSK,GT,12,105,8,19,140
PBKS,KKR,14,113,1,19,155
MI,PBKS,14,116,5,16,134
LSG,PBKS,14,124,4,16,139
LSG,PBKS,15,125,8,20,149
CSK,PBKS,14,107,1,18,172
CSK,KKR,9,75,1,14,152
KKR,CSK,15,107,2,17,128
SRH,PBKS,10,89,0,20,181
KKR,RCB,7,65,0,18,223
MI,GT,14,110,8,15,115
CSK,GT,15,125,8,18,147
DC,RCB,10,83,2,15,125
CSK,MI,14,122,0,18,177
SRH,RCB,12,102,0,19,210
PBKS,LSG,13,124,9,14,130
GT,RR,5,33,4,11,108
DC,SRH,13,88,7,15,101
MI,DC,11,86,6,12,94
SRH,RCB,6,57,2,14,146
RR,SRH,12,97,5,13,107
CSK,RCB,11,86,1,18,155
MI,KKR,15,149,3,20,212
DC,GT,12,85,8,14,94
RR,KKR,9,80,0,12,119
SRH,MI,8,70,4,17,145
DC,GT,5,37,3,17,206
DC,PBKS,15,125,6,18,155
MI,GT,11,109,7,15,144
PBKS,DC,7,56,1,18,164
GT,LSG,5,49,4,10,102
RR,CSK,13,126,9,14,130
GT,RCB,6,47,0,14,183
RCB,RR,12,107,8,13,114
DC,MI,15,142,2,18,168
LSG,RCB,13,122,9,14,126
LSG,DC,15,95,7,19,121
SRH,DC,14,113,4,18,142
DC,CSK,6,47,4,9,83
SRH,LSG,6,49,4,19,197
SRH,RCB,12,83,8,17,121
LSG,DC,14,89,5,18,116
GT,LSG,7,66,1,17,218
DC,SRH,6,55,4,19,162
MI,CSK,13,110,1,17,143
RCB,RR,7,63,1,16,211
DC,RR,8,53,3,10,81
CSK,RR,5,41,0,11,128
MI,RCB,8,68,3,20,156
CSK,RR,7,49,1,9,70
KKR,CSK,7,54,4,20,165
MI,DC,10,65,2,11,80
SRH,DC,9,76,5,12,98
RCB,CSK,14,134,1,19,184
CSK,GT,12,89,7,16,111
CSK,PBKS,12,109,1,16,143
DC,LSG,14,118,8,20,146
CSK,DC,8,65,0,20,179
PBKS,DC,9,75,7,20,179
CSK,LSG,9,56,7,11,70
PBKS,GT,5,49,0,13,173
RCB,LSG,13,90,8,19,118
PBKS,RR,8,59,1,20,167
CSK,MI,13,96,0,18,144
PBKS,SRH,6,59,1,20,258
MI,SRH,5,49,4,8,86
LSG,PBKS,13,80,8,15,96
SRH,MI,8,58,2,15,148
KKR,RR,14,127,2,15,136
MI,RR,11,94,8,14,109
RR,KKR,12,113,4,19,161
MI,RR,6,51,4,14,155
RCB,KKR,7,48,5,8,59
CSK,PBKS,14,125,3,19,173
KKR,LSG,6,56,0,10,93
MI,DC,6,50,3,12,121
RCB,KKR,14,135,2,19,192
DC,CSK,7,63,3,14,145
MI,SRH,9,84,4,18,158
SRH,RR,13,112,6,19,165
LSG,GT,6,56,4,7,67
SRH,KKR,11,85,2,17,139
GT,LSG,5,38,2,17,197
PBKS,KKR,13,109,4,17,147
CSK,LSG,12,100,5,16,136
KKR,MI,6,38,4,10,65
CSK,SRH,7,54,4,18,149
CSK,KKR,14,106,1,17,131
MI,GT,6,59,2,8,79
PBKS,KKR,11,67,3,13,84
RR,LSG,6,40,4,12,113
PBKS,MI,5,46,1,16,201
MI,RCB,5,46,0,17,166
LSG,KKR,5,42,4,10,94
MI,RCB,10,72,0,19,233
LSG,DC,13,83,1,18,157
KKR,RR,7,64,1,20,260
RCB,CSK,12,86,6,13,93
CSK,SRH,9,67,4,18,161
CSK,KKR,10,62,2,18,166
GT,MI,13,97,9,15,107
DC,GT,9,68,4,13,110
RR,PBKS,6,53,2,19,237
RR,DC,13,112,2,20,177
PBKS,RCB,6,39,3,11,85
RCB,LSG,14,118,1,16,139
KKR,GT,15,97,9,20,118
SRH,CSK,14,94,7,18,121
PBKS,SRH,10,82,7,20,135
RR,PBKS,10,80,8,20,130
GT,SRH,14,104,9,15,108
DC,KKR,6,53,3,18,197
LSG,MI,7,59,0,14,158
CSK,KKR,6,47,4,7,54
DC,RCB,11,90,8,20,146
MI,KKR,11,96,2,17,163
LSG,CSK,15,149,2,19,202
GT,RR,8,50,0,12,92
SRH,CSK,15,110,6,19,141
MI,PBKS,15,128,7,17,144
GT,RCB,10,86,6,12,100
RCB,MI,11,86,7,17,130
KKR,PBKS,13,86,9,19,116
RR,CSK,12,110,6,16,152
PBKS,DC,8,77,3,9,90
DC,KKR,10,70,7,17,132
DC,RR,8,70,5,12,101
MI,RCB,13,82,8,14,88
RCB,DC,11,107,1,18,175
PBKS,RR,9,68,3,10,76
MI,KKR,12,97,5,15,129
KKR,GT,9,54,2,11,73
KKR,MI,14,130,8,19,169
KKR,CSK,10,93,3,13,135
PBKS,GT,9,58,4,11,77
KKR,DC,6,42,4,17,159
RR,RCB,7,57,1,17,158
MI,LSG,13,100,8,16,113
RCB,SRH,5,40,0,10,112
KKR,DC,8,64,6,10,76
KKR,RCB,11,89,5,18,161
PBKS,DC,11,84,4,17,154
DC,SRH,14,94,4,15,102
GT,MI,9,61,4,13,97
CSK,PBKS,8,56,4,18,130
MI,DC,6,47,0,19,210
PBKS,DC,14,133,8,15,139
LSG,CSK,6,46,4,7,58
GT,SRH,9,83,6,11,97
PBKS,LSG,5,42,3,12,118
RCB,PBKS,5,38,4,13,95
CSK,KKR,12,77,0,17,144
SRH,KKR,15,148,2,18,175
GT,DC,9,77,7,17,125
PBKS,CSK,12,108,8,13,113
MI,KKR,5,35,3,19,142
LSG,RR,6,43,3,18,170
MI,RR,9,87,7,11,97
CSK,LSG,6,41,0,14,144
GT,LSG,6,58,3,11,118
RCB,CSK,12,119,9,20,156
RR,CSK,13,106,4,18,146
SRH,LSG,11,73,5,17,144
PBKS,MI,6,39,3,17,194
RCB,SRH,12,88,5,15,119
CSK,LSG,7,50,2,14,142
RR,GT,9,59,1,19,143
CSK,PBKS,7,69,2,17,198
LSG,DC,11,93,1,20,196
LSG,KKR,8,48,1,18,134
CSK,GT,6,54,3,17,193
RR,PBKS,12,96,9,16,115
KKR,DC,14,133,2,16,154
DC,RR,12,80,9,18,105
LSG,KKR,5,41,3,18,194
SRH,DC,14,115,3,20,179
MI,KKR,7,55,5,10,74
GT,PBKS,9,82,7,12,102
KKR,SRH,5,38,1,20,191
LSG,PBKS,5,38,3,9,89
PBKS,SRH,13,127,4,14,137
GT,MI,7,42,0,13,110
CSK,KKR,9,56,2,19,202
DC,KKR,5,38,4,9,67
KKR,SRH,11,87,0,19,211
PBKS,GT,10,69,8,14,96
KKR,PBKS,12,74,5,16,104
RR,LSG,14,99,5,16,121
PBKS,GT,8,49,3,10,76
LSG,DC,8,58,2,15,117
MI,LSG,15,147,6,20,175
SRH,GT,9,89,1,14,158
GT,DC,12,88,2,13,103
LSG,GT,5,33,3,20,168
RR,PBKS,11,89,7,13,102
LSG,RR,10,81,1,16,142
MI,CSK,14,93,1,20,186
MI,RCB,7,60,5,19,136
SRH,PBKS,15,117,2,16,126
RR,DC,8,65,3,12,108
SRH,LSG,9,77,3,20,231
SRH,CSK,6,37,2,14,117
GT,KKR,7,44,3,14,135
MI,KKR,9,88,7,19,140
LSG,KKR,9,76,6,18,143
SRH,MI,14,109,5,18,136
RCB,KKR,15,106,7,16,113
RR,LSG,9,80,7,20,149
PBKS,RR,7,66,3,18,185
CSK,SRH,9,78,4,11,93
PBKS,SRH,15,131,2,16,139
KKR,MI,14,88,4,17,111
LSG,KKR,10,81,2,19,184
LSG,DC,12,95,2,16,136
GT,DC,12,76,0,17,139
MI,GT,7,54,1,18,206
PBKS,CSK,9,83,5,20,190
KKR,MI,6,43,3,13,101
KKR,CSK,12,75,2,16,133
PBKS,DC,7,63,4,11,114
CSK,SRH,13,118,1,16,166
RR,MI,12,90,3,17,145
RCB,KKR,15,115,8,17,131
PBKS,GT,7,69,2,17,201
KKR,SRH,13,93,6,14,99
KKR,LSG,10,64,3,18,136
LSG,CSK,12,85,4,15,109
LSG,KKR,15,144,7,17,160
PBKS,GT,12,80,6,20,133
CSK,KKR,15,149,1,20,212
DC,KKR,9,75,0,14,124
LSG,KKR,7,65,0,15,174
SRH,PBKS,13,95,3,18,137
DC,RCB,10,83,2,14,135
KKR,RR,7,60,1,15,167
RR,GT,5,35,0,7,59
PBKS,LSG,7,49,0,16,156
CSK,KKR,12,94,3,20,185
PBKS,CSK,5,34,2,9,68
GT,RR,9,69,7,19,131
LSG,GT,12,76,8,13,80
RCB,SRH,11,104,2,12,114
RCB,LSG,12,104,0,17,181
GT,DC,12,113,6,18,153
RR,CSK,8,69,1,12,115
KKR,MI,9,58,3,17,158
CSK,KKR,13,126,8,15,137
GT,MI,7,67,0,14,185
KKR,RR,15,134,5,18,161
SRH,MI,5,43,3,8,74
RR,DC,9,83,6,18,167
LSG,PBKS,9,78,1,13,134
RR,GT,9,85,5,11,101
RCB,GT,11,80,8,17,122
CSK,LSG,11,88,4,18,140
SRH,CSK,5,48,2,18,201
MI,KKR,15,113,0,16,128
DC,LSG,6,56,3,12,118
KKR,CSK,6,47,2,9,92
KKR,RR,15,113,9,18,124
DC,PBKS,14,90,9,18,108
RR,PBKS,8,79,0,9,88
KKR,CSK,10,81,4,19,173
MI,RR,9,84,2,12,114
RCB,CSK,9,66,3,14,136
RR,KKR,7,46,4,10,68
MI,DC,7,63,2,19,184
PBKS,GT,12,101,4,19,165
DC,CSK,9,73,2,20,236
PBKS,RR,9,80,6,14,128
KKR,GT,14,136,0,17,175
KKR,RR,11,82,5,12,91
RR,GT,7,58,2,12,135
MI,KKR,8,73,2,17,147
CSK,MI,5,35,2,20,255
DC,SRH,6,47,4,12,115
PBKS,DC,6,44,2,14,139
RCB,KKR,6,52,0,14,145
RR,RCB,5,36,4,6,43
SRH,LSG,9,83,0,10,99
MI,LSG,11,87,3,17,143
SRH,RCB,6,36,2,17,196
MI,LSG,5,40,1,17,212
MI,RCB,14,106,1,17,151
SRH,RR,15,91,6,20,140
CSK,GT,9,55,2,14,110
LSG,PBKS,5,44,1,15,197
PBKS,KKR,8,69,5,10,89
KKR,PBKS,12,85,3,17,154
SRH,MI,11,72,1,13,102
LSG,CSK,13,78,9,18,96
PBKS,RR,5,31,1,13,98
DC,GT,15,139,2,16,153
KKR,DC,6,57,4,9,94
SRH,RCB,9,58,6,19,142
LSG,SRH,11,66,6,16,112
DC,CSK,12,108,0,16,169
LSG,DC,8,73,3,13,110
DC,RR,11,88,8,14,106
MI,KKR,13,80,8,18,109
KKR,MI,13,112,5,19,155
RR,MI,13,85,6,17,122
PBKS,DC,12,94,0,16,133
RCB,GT,5,32,1,10,85
DC,PBKS,10,73,5,11,79
GT,RCB,13,116,5,14,127
KKR,LSG,15,142,9,19,162
CSK,DC,11,100,0,19,181
PBKS,DC,14,127,8,16,136
RR,DC,13,118,9,20,151
DC,KKR,11,104,2,20,212
SRH,CSK,11,100,7,17,133
SRH,RCB,13,126,1,17,175
RR,KKR,14,139,6,19,180
KKR,MI,15,147,5,16,154
GT,RR,14,134,8,16,145
RCB,PBKS,12,102,0,13,119
PBKS,LSG,10,78,8,12,92
MI,PBKS,8,68,2,16,138
MI,RR,15,135,9,20,170
PBKS,RR,10,90,2,16,157
CSK,MI,15,137,5,16,144
RCB,LSG,15,148,8,19,169
LSG,MI,7,46,5,13,82
PBKS,KKR,7,62,4,9,84
DC,MI,6,54,4,16,151
KKR,CSK,15,129,3,17,154
PBKS,GT,9,54,4,19,173
DC,LSG,14,102,1,17,133
LSG,RCB,14,134,5,17,169
CSK,GT,11,82,3,15,132
RCB,KKR,5,38,1,19,228
KKR,DC,9,66,3,10,74
GT,KKR,8,48,2,19,198
DC,CSK,5,32,4,14,147
DC,LSG,7,53,3,17,185
RR,SRH,11,103,4,16,161
RR,KKR,6,40,4,14,102
RCB,SRH,13,96,9,20,143
CSK,KKR,12,111,3,14,136
SRH,KKR,7,56,0,14,121
KKR,SRH,9,68,4,18,127
LSG,PBKS,10,62,7,17,102
DC,KKR,7,66,5,11,113
PBKS,RCB,8,71,4,15,145
DC,GT,15,106,8,18,131
KKR,SRH,12,108,5,17,142
RR,MI,13,91,9,19,118
KKR,DC,13,84,4,19,154
LSG,RCB,8,79,6,16,129
RR,PBKS,5,32,1,12,140
LSG,CSK,6,55,4,15,134
PBKS,KKR,8,53,0,9,68
RR,CSK,5,37,3,9,76
RCB,DC,7,42,1,8,58
RR,KKR,12,105,2,18,177
CSK,LSG,7,54,4,18,161
SRH,RCB,7,53,2,18,213
KKR,DC,11,79,5,14,106
SRH,RR,12,116,1,20,249
RCB,MI,8,69,3,9,80
DC,PBKS,15,114,5,16,122
DC,RR,12,109,1,20,198
PBKS,DC,15,93,6,19,135
KKR,RR,11,93,6,14,121
SRH,KKR,12,85,9,13,92
GT,CSK,6,59,4,18,170
DC,MI,14,116,0,17,157
RR,RCB,14,112,2,16,132
GT,PBKS,10,65,6,17,109
PBKS,KKR,15,115,3,19,156
RCB,MI,9,54,2,15,112
GT,LSG,5,43,0,16,168
MI,DC,5,32,0,15,177
PBKS,RCB,9,61,5,13,101
LSG,CSK,5,37,0,14,154
CSK,DC,13,121,9,19,163
CSK,RCB,15,116,2,19,170
LSG,KKR,15,133,9,18,150
CSK,GT,13,90,3,18,129
CSK,PBKS,11,68,3,12,76
DC,MI,12,89,1,15,119
CSK,RCB,11,102,5,14,128
SRH,RCB,14,112,6,17,136
RCB,CSK,13,88,8,20,125
CSK,RR,9,77,7,20,153
GT,PBKS,14,111,1,18,149
MI,RCB,10,91,8,14,117
RR,PBKS,12,116,0,19,223
PBKS,MI,13,91,5,18,125
DC,CSK,14,136,1,17,181
KKR,RCB,7,64,0,11,133
SRH,RR,13,96,9,17,122
RR,SRH,9,65,1,10,77
RR,CSK,5,32,0,11,115
RCB,SRH,10,80,4,20,204
RR,RCB,13,78,8,18,108
RR,KKR,11,84,6,19,164
DC,RR,6,43,0,20,171
GT,RCB,14,103,2,18,137
GT,RR,11,76,2,17,133
SRH,LSG,15,123,0,16,136
GT,SRH,14,93,1,16,116
PBKS,CSK,6,36,4,7,45
RR,LSG,14,112,4,16,137
RR,CSK,11,84,0,12,100
RCB,PBKS,15,131,8,19,159
SRH,CSK,13,123,8,16,137
PBKS,GT,11,85,2,14,128
RCB,PBKS,13,119,2,15,135
PBKS,RR,13,116,3,14,130
MI,RCB,10,77,2,13,102
SRH,RR,8,62,3,19,193
MI,CSK,13,78,1,18,124
LSG,KKR,12,92,9,17,119
RR,KKR,5,30,2,17,193
RR,GT,10,89,0,17,190
DC,KKR,14,116,5,20,157
GT,PBKS,12,100,8,20,153
MI,CSK,14,122,2,16,144
CSK,RR,13,91,5,16,120
CSK,PBKS,14,99,3,20,144
DC,KKR,11,109,7,15,143
KKR,CSK,12,73,5,18,123
RCB,PBKS,12,113,5,13,124
SRH,LSG,11,109,5,13,131
CSK,RR,10,63,3,20,135
RCB,CSK,7,42,2,12,111
DC,RCB,10,60,7,12,76
KKR,SRH,15,90,2,20,162
GT,RCB,13,81,2,16,120
LSG,KKR,7,66,2,9,86
DC,PBKS,7,54,1,11,116
GT,KKR,10,83,1,17,192
SRH,RR,15,100,4,16,110
LSG,GT,10,71,2,11,83
KKR,CSK,12,105,5,14,125
MI,DC,6,54,2,17,178
SRH,PBKS,8,78,2,20,217
MI,PBKS,5,35,3,11,103
SRH,LSG,15,93,7,20,127
CSK,DC,8,55,5,19,134
SRH,DC,11,78,8,14,93
DC,CSK,11,93,4,15,128
DC,SRH,5,43,1,19,196
MI,RCB,11,75,1,15,110
SRH,KKR,9,73,4,18,189
SRH,LSG,11,101,7,19,144
RR,CSK,8,69,3,13,111
KKR,MI,10,94,7,17,130
RR,DC,10,91,7,13,105
RR,CSK,5,39,1,14,168
DC,LSG,6,47,4,15,140
RCB,LSG,5,47,4,6,58
SRH,KKR,14,94,1,19,167
PBKS,RCB,11,71,1,18,170
LSG,SRH,5,46,2,18,206
GT,PBKS,8,79,0,19,191
PBKS,LSG,9,64,3,12,89
MI,RR,10,98,7,19,175
RCB,KKR,15,110,4,19,154
LSG,DC,14,113,5,18,137
GT,MI,5,42,4,6,49
CSK,MI,5,35,1,16,131
SRH,LSG,15,104,6,20,143
LSG,RR,6,54,0,20,305
MI,RCB,15,91,4,16,100
KKR,GT,8,64,6,13,92
KKR,CSK,13,100,5,20,148
RCB,MI,13,95,0,18,145
LSG,SRH,12,116,0,15,164
RCB,SRH,15,129,0,17,159
DC,LSG,11,106,5,13,121
RCB,RR,12,109,2,15,140
CSK,PBKS,7,50,2,14,119
CSK,RR,7,47,3,9,70
DC,RCB,8,71,1,9,81
GT,KKR,14,124,8,18,151
RCB,KKR,12,87,0,14,111
SRH,CSK,12,117,1,16,157
LSG,SRH,12,88,8,19,132
GT,SRH,10,86,3,18,176
RCB,LSG,9,58,2,10,65
LSG,DC,14,124,6,16,144
RR,KKR,11,79,0,17,143
RCB,PBKS,13,122,3,19,172
CSK,DC,10,87,3,19,162
LSG,DC,10,96,6,14,130
DC,RCB,10,80,2,18,167
LSG,KKR,5,31,2,18,211
GT,DC,11,81,5,16,113
MI,CSK,12,73,6,14,92
SRH,PBKS,14,128,6,16,143
MI,SRH,8,48,0,15,124
DC,CSK,5,32,1,11,127
CSK,RR,10,95,7,11,101
GT,CSK,10,78,5,13,99
SRH,PBKS,15,136,4,18,156
DC,RR,14,122,8,16,130
DC,KKR,10,66,1,12,88
LSG,RR,11,88,2,12,100
KKR,DC,7,53,3,15,129
CSK,SRH,15,147,2,19,191
GT,DC,8,65,3,12,105
MI,KKR,10,72,8,17,107
SRH,RR,12,94,6,14,108
RCB,RR,6,37,4,19,156
MI,SRH,9,54,7,19,113
KKR,SRH,10,70,1,18,173
LSG,DC,14,116,7,17,138
GT,CSK,8,58,0,17,156
PBKS,LSG,10,77,0,14,126
RR,RCB,13,109,6,19,163
CSK,GT,13,87,2,18,134
KKR,SRH,13,86,7,20,145
GT,LSG,14,103,8,15,109
KKR,MI,14,97,4,19,161
RR,SRH,5,34,1,17,138
MI,RR,15,92,0,18,129
DC,RR,13,118,9,17,137
KKR,SRH,10,81,7,17,119
RR,LSG,15,138,0,19,203
DC,KKR,10,73,4,17,128
GT,RR,8,63,4,11,92
KKR,RCB,14,95,4,17,132
KKR,GT,10,73,1,16,129
MI,PBKS,10,61,2,17,159
PBKS,KKR,10,73,3,19,152
RCB,RR,10,95,8,14,123
KKR,MI,6,37,2,11,79
KKR,MI,14,108,6,18,150
RCB,GT,9,85,2,14,153
KKR,MI,6,43,0,20,171
SRH,CSK,15,123,3,17,144
CSK,MI,15,149,0,19,213
RR,MI,14,132,2,16,152
MI,KKR,7,60,0,13,146
MI,RR,8,56,0,18,208
SRH,CSK,12,107,9,19,133
PBKS,GT,8,70,2,17,210
GT,LSG,6,45,0,18,156
GT,LSG,6,56,3,8,76
KKR,LSG,10,71,8,12,79
DC,KKR,11,88,4,13,102
MI,RR,12,112,3,18,177
KKR,LSG,13,94,3,17,150
RCB,SRH,15,94,4,19,129
RCB,SRH,10,87,0,17,185
RR,CSK,13,101,1,18,147
KKR,SRH,12,85,0,17,162
CSK,KKR,10,63,7,14,93
LSG,PBKS,13,97,1,18,180
LSG,SRH,11,87,6,18,162
SRH,PBKS,14,87,3,20,150
GT,DC,5,38,4,9,82
RCB,CSK,7,62,4,18,143
KKR,DC,13,119,2,19,212
LSG,PBKS,8,63,4,14,111
SRH,KKR,12,118,2,14,138
LSG,KKR,12,74,6,15,99
RR,PBKS,6,47,3,12,118
CSK,KKR,12,98,3,18,179
RR,SRH,8,54,1,14,132
RCB,PBKS,9,54,7,18,139
PBKS,RR,13,128,3,16,169
RR,PBKS,13,91,6,15,108
LSG,GT,10,78,0,14,119
RCB,CSK,7,54,5,11,87
SRH,GT,7,42,2,12,98
KKR,RR,11,84,6,17,120
CSK,GT,14,110,6,19,140
KKR,CSK,5,33,3,7,47
KKR,RR,14,96,6,20,140
RCB,LSG,12,110,1,16,146
LSG,MI,7,46,2,11,96
RR,SRH,13,121,5,16,153
KKR,MI,14,99,6,19,129
GT,RR,14,93,5,18,117
PBKS,RCB,9,69,5,14,99
GT,CSK,14,129,5,20,165
LSG,PBKS,9,54,4,10,64
DC,MI,8,48,3,14,96
RR,MI,10,68,0,20,197
MI,DC,5,40,1,17,235
GT,LSG,11,92,6,18,152
RCB,SRH,5,41,4,11,82
RR,DC,14,99,9,17,116
RR,RCB,7,62,4,10,82
PBKS,RCB,7,52,1,11,101
RCB,PBKS,7,43,4,10,80
DC,GT,11,70,5,13,84
SRH,CSK,9,70,1,20,216
SRH,LSG,5,31,3,14,104
GT,LSG,8,59,2,14,137
LSG,MI,15,123,1,18,148
LSG,RCB,12,91,8,20,146
CSK,DC,13,83,2,15,107
SRH,RR,9,57,5,11,78
MI,SRH,6,43,3,19,162
LSG,RR,15,140,6,20,185
PBKS,LSG,13,110,6,19,148
PBKS,RCB,6,55,3,18,204
CSK,KKR,15,94,0,20,170
MI,KKR,12,98,6,16,141
RCB,LSG,11,107,4,19,166
LSG,CSK,10,74,6,17,134
MI,SRH,5,43,2,18,167
SRH,RCB,12,84,6,14,95
PBKS,GT,9,74,6,14,120
CSK,SRH,8,56,4,20,182
LSG,MI,13,94,8,19,142
PBKS,RR,15,125,7,18,141
RCB,CSK,12,73,0,16,123
RCB,CSK,8,56,0,20,177
MI,GT,6,51,2,15,173
RCB,GT,5,36,0,7,57
SRH,RR,6,43,4,19,179
GT,PBKS,13,82,6,20,126
LSG,KKR,6,42,3,19,211
KKR,LSG,13,94,9,17,112
RCB,GT,8,70,4,12,117
MI,DC,14,125,8,17,138
LSG,DC,15,103,9,20,124
DC,LSG,13,117,1,19,188
RR,SRH,12,110,4,19,174
GT,RCB,9,81,0,11,104
RR,CSK,6,59,1,13,154
RR,PBKS,7,50,1,18,202
DC,RCB,10,76,2,18,189
LSG,RR,7,65,0,10,117
RR,RCB,5,31,2,13,98
KKR,RCB,14,114,6,17,142
KKR,GT,10,87,6,16,141
LSG,RR,5,43,2,15,139
MI,KKR,15,141,2,17,157
PBKS,LSG,11,99,7,14,127
PBKS,SRH,13,129,7,19,165
RCB,RR,12,113,0,15,145
RR,SRH,13,120,9,18,149
